id,shop,category,sub_category,item_name,description,price_base,weight,limited_stock,rural,urban
1,shop-leather,Armor,Light Armor,Leather,The breastplate and shoulder protectors of this armor are made of leather that has been stiffened by being boiled in oil. The rest of the armor is made of softer and more flexible materials.,10.0,4.54,True,True,True
2,shop-leather,Armor,Light Armor,Studded Leather,"Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes.",45.0,5.9,False,True,True
3,shop-leather,Armor,Medium Armor,Hide,"This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor.",10.0,5.44,True,True,True
4,shop-leather,Armor,Shield,Shield,A shield is made from wood or metal and is carried in one hand. Wielding a shield increases your Armor Class by 2. You can benefit from only one shield at a time.,10.0,2.72,False,False,True
5,shop-leather,Weapons,Simple Ranged Weapons,Sling,"A sling is a projectile weapon typically used to throw a blunt projectile such as a stone, clay, or lead ""sling-bullet"". It is also known as the shepherd's sling. Proficiency with a sling allows you to add your proficiency bonus to the attack roll for any attack you make with it.",0.1,NULL,False,True,True
6,shop-leather,Adventuring Gear,default,Waterskin (full),A waterskin can hold 4 pints of liquid.,0.2,2.27,True,True,True
7,shop-leather,Tools and Kits,Artisan's Tools,Cobbler's Tools,"Although the cobbler's trade might seem too humble for an adventurer, a good pair of boots will see a character across rugged wilderness and through deadly dungeons.",5.0,2.27,False,True,True
8,shop-leather,Tools and Kits,Artisan's Tools,Leatherworker's Tools,Knowledge of leatherworking extends to lore concerning animal hides and their properties. It also confers knowledge of leather armor and similar goods.,5.0,2.27,True,True,True
9,shop-leather,Tools and Kits,Musical Instruments,Bagpipes,A woodwind instrument using enclosed reeds fed from a constant reservoir of air in the form of a bag.,30.0,2.72,False,False,False
10,shop-leather,Tools and Kits,Musical Instruments,Drum,"A musical percussion instrument consisting of a hollow, usually cylindrical, body covered at one or both ends with a tightly stretched membrane, or head, which is struck with the hand, a stick, or a pair of sticks, and typically produces a booming, tapping, or hollow sound.DC 10 - Identify a tuneDC 20 - Improvise a tune",6.0,1.36,False,False,True
11,shop-leather,Tools and Kits,Musical Instruments,Hand Drum,A double-headed skin drum fitted with handles along its side.DC 10 - Identify a tuneDC 20 - Improvise a tune,6.0,1.36,False,True,True
